"SR_LN.R0.","TOTAL","Length_comp","Recruitment","Survey","SR_LN.R0..1","model","Label","ALL","S01_JPNLL_Q1A1_Late","S02_JPNLL_Q3A1_Late","S03_US_LL","S04_TWN_DWLL","S06_JPNLL_Q1A1_Early","SR_LN.R0..2","model.1","Label.1","ALL.1","F01_JPNLL_Q1A1_Late","F02_JPNLL_Q1A2","F03_JPNLL_Q1A3","F04_JPNLL_Q2A1","F05_JPNLL_Q3A1_Late","F06_JPNLL_Q4A1","F07_JPNLL_Q1A4","F08_JPNLL_Q2A2","F09_JPNLL_Q3A2","F10_JPNLL_Q4A2","F11_JPNLL_Q4A3","F13_JPNDF_Q14","F14_JPNDF_Q23","F16_US_LL","F18_TWN_DWLL","SR_LN.R0..3","model.2","Label.2","ALL.2","F13_JPNDF_Q14.1","F14_JPNDF_Q23.1"
5,505.07,193.77,149.30567,2.5582,5,2,"Surv_like",2.5582,5.1288,0,0.1349,0.37882,1.1936,5,2,"Length_like",193.77,0.808799999999998,6.51419999999999,11.7393,7.17700000000001,5.3406,5.7724,3,9.23000000000002,11.096,2.334,122.787,16.9558,10.2792,26.116,6.48700000000002,5,2,"Catch_like",0.010516125368,0.0104120999764771,8.84848e-11
5.1,322.33,79.6399999999999,121.13367,3.351,5.1,3,"Surv_like",3.351,4.4352,2.63228,0.0269000000000013,0.2231,0.3033,5.1,3,"Length_like",79.6399999999999,2.0218,8.48999999999999,7.1058,6.58970000000001,3.7921,5.9776,1.143,0,0.825999999999993,14.573,7.85499999999999,9.262,4.7757,54.8739999999999,4.21800000000002,5.1,3,"Catch_like",0.061940325368,0.0611450999764771,1.707301e-10
5.2,268.44,80.3699999999999,104.62867,0,5.2,4,"Surv_like",0,0.262699999999999,3.34713,0.0251000000000001,0.18748,0.442900000000002,5.2,4,"Length_like",80.3699999999999,1.0531,8.47439999999999,9.5516,5.6407,4.28440000000001,3.7068,2.65299999999999,3.12,1.40699999999998,13.351,5.18499999999997,9.5326,4.9603,53.1279999999999,6.18600000000001,5.2,4,"Catch_like",0.120605825368,0.118833999976477,1.599621e-10
5.3,192.89,30.5299999999997,101.02767,7.6294,5.3,5,"Surv_like",7.6294,5.8301,5.87773,0,0.18259,0,5.3,5,"Length_like",30.5299999999997,0,2.80189999999999,4.6163,5.6246,3.5248,1.5549,1.38900000000001,4.84300000000002,6.98499999999999,0.109000000000009,4.10999999999999,6.8837,4.0138,30.3969999999999,5.54000000000002,5.3,5,"Catch_like",0.042500625368,0.0419292999764771,1.897081e-10
5.4,142.02,25.3499999999999,79.86447,6.5275,5.4,6,"Surv_like",6.5275,5.1206,5.22743,0.0339000000000009,0.17664,0.235599999999998,5.4,6,"Length_like",25.3499999999999,0.148299999999999,3.08959999999999,4.6929,4.874,3.3974,1.5082,1.184,4.441,7.02099999999999,0.218000000000018,3.93099999999998,7.2645,5.3606,25.9639999999999,4.12100000000001,5.4,6,"Catch_like",0.015269225368,0.0150700999764771,1.586531e-10
5.5,99.9700000000003,21.5799999999999,60.25897,6.1459,5.5,7,"Surv_like",6.1459,4.7093,5.13563,0.0741000000000014,0.17199,0.320300000000003,5.5,7,"Length_like",21.5799999999999,0.348300000000002,3.21369999999999,4.6059,4.8501,3.2298,1.3903,1.10599999999999,4.155,6.501,0.28400000000002,3.71899999999999,6.5744,5.7526,23.9309999999999,3.786,5.5,7,"Catch_like",0.004140875368,0.0040855199764771,1.528201e-10
5.6,65.5,16.4000000000001,44.43837,5.9082,5.6,8,"Surv_like",5.9082,3.9782,5.75513,0.156300000000002,0.15732,0.124299999999998,5.6,8,"Length_like",16.4000000000001,0.642499999999998,3.2076,4.464,6.2705,2.77650000000001,0.8202,1.37700000000001,3.47,4.00799999999998,0,3.11199999999999,4.9988,4.9947,25.0759999999999,3.05100000000002,5.6,8,"Catch_like",0.002717995368,0.0026790199764771,1.820841e-10
5.7,36.9000000000001,11.0999999999999,28.82627,5.4093,5.7,9,"Surv_like",5.4093,3.7054,5.08203,0.223800000000001,0.15272,0.504100000000001,5.7,9,"Length_like",11.0999999999999,1.0348,3.5064,4.4947,4.4991,2.4411,0.8429,0.908999999999992,3.04400000000001,4.34799999999998,0.162000000000006,2.70599999999999,5.5071,6.3351,20.606,2.52600000000001,5.7,9,"Catch_like",0.002415385368,0.0023806899764771,1.627141e-10
5.8,16.0600000000004,4.44000000000005,16.27357,5.5652,5.8,10,"Surv_like",5.5652,3.7406,4.57483,0.238700000000001,0.13488,1.1365,5.8,10,"Length_like",4.44000000000005,0.5075,3.31529999999999,4.0329,3.2778,1.803,0.719000000000001,0.628000000000014,1.95000000000002,2.08500000000001,0.963000000000022,2.65899999999999,5.2534,6.5124,20.0069999999999,2.595,5.8,10,"Catch_like",1.278278e-06,6.758541e-10,1.434891e-10
5.9,1.70000000000027,0,6.35027,5.6351,5.9,11,"Surv_like",5.6351,4.5542,4.13473,0.309100000000001,0.0888300000000002,0.7697,5.9,11,"Length_like",0,1.4184,2.88669999999999,2.9996,3.60980000000001,0.6113,0.799799999999998,0.0459999999999923,0.744,0,1.684,1.41399999999999,3.9925,4.9916,25.329,1.33200000000002,5.9,11,"Catch_like",9.7875268e-05,9.48686764771e-05,1.1324101e-09
5.9369,0,0.139999999999873,4.16117,6.0248,5.9369,1,"Surv_like",6.0248,4.9571,4.26343,0.361600000000001,0.0613799999999998,0.564999999999998,5.9369,1,"Length_like",0.139999999999873,1.8652,2.55119999999999,2.4664,2.62310000000001,0.293500000000002,0.960999999999999,0,0.312000000000012,0.0699999999999932,1.886,0.929999999999978,3.4663,4.4132,29.276,0.89700000000002,5.9369,1,"Catch_like",0.001331835368,0.0013093199764771,1.595026901e-07
6,4.14000000000033,4.54999999999973,1.70855,8.2437,6,12,"Surv_like",8.2437,5.8139,5.85073,0.5296,0.0362900000000002,0.139600000000002,6,12,"Length_like",4.54999999999973,2.2719,1.3929,1.3309,0.426400000000001,0,0.760999999999996,0.164999999999992,0.0240000000000009,1.17099999999999,1.988,0.138999999999982,1.7467,2.1667,42.38,0.449000000000012,6,12,"Catch_like",0.017066225368,0.0088013999764771,0.0075971499896901
6.1,15.6900000000001,16.52,0,9.415,6.1,13,"Surv_like",9.415,5.1748,7.39933,0.655200000000001,0.0328499999999998,0.283500000000004,6.1,13,"Length_like",16.52,2.3505,0,0,0,0.0108999999999995,0,0.49799999999999,0.0510000000000161,2.36699999999999,1.90000000000001,0,0,0,61.2089999999999,0,6.1,13,"Catch_like",0.098783725368,0.0226661999764771,0.0703456999896901
6.2,49.2000000000003,39.1799999999998,3.21275,17.4057,6.2,14,"Surv_like",17.4057,1.4574,5.60673,1.8997,0.0477400000000001,12.5355,6.2,14,"Length_like",39.1799999999998,4.6801,7.11449999999999,5.672,5.4141,2.7304,4.6708,0.373999999999995,0.223000000000013,1.45699999999999,2.101,2.26999999999998,21.025,31.9321,0,1.381,6.2,14,"Catch_like",1.56213e-07,3.55202e-11,1.21099e-11
6.3,66.3900000000003,51.6099999999997,2.84472,22.57207,6.3,15,"Surv_like",22.57207,0.613399999999999,6.96373,2.1298,0.02074,17.0039,6.3,15,"Length_like",51.6099999999997,5.0334,7.53739999999999,6.0914,5.56140000000001,3.06160000000001,5.0344,0.501000000000005,0.343000000000018,1.31,2.08600000000001,2.33699999999999,24.4074,37.7905,1.01499999999999,1.36700000000002,6.3,15,"Catch_like",6.4527e-08,1.36737e-11,4.7809e-12
6.4,81.8200000000002,62.2799999999997,2.38549,27.81375,6.4,16,"Surv_like",27.81375,0,7.92413,2.2738,0,21.7908,6.4,16,"Length_like",62.2799999999997,5.2525,7.795,6.4186,5.65130000000001,3.239,5.2842,0.584000000000003,0.421000000000021,1.04499999999999,2.053,2.24199999999999,27.1442,42.6962,2.96199999999999,1.351,6.4,16,"Catch_like",0,0,0
